input,output,se_order
"saya kecewa , karena : 1 . keran bathtub tidak bekerja dengan baik 2 . toilet tidak bisa dipakai 3 . ac tidak dingin 4 . belum saja check out sudah disuruh check out 5 . tidak ada breakfast yang di janjikan di voucher .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> keran bathtub <extra_id_1> tidak bekerja dengan baik <extra_id_2> negative ; <extra_id_3> toilet <extra_id_4> tidak bisa dipakai <extra_id_5> negative ; <extra_id_6> ac <extra_id_7> tidak dingin <extra_id_8> negative ; <extra_id_9> breakfast <extra_id_10> tidak ada <extra_id_11> negative ; <extra_id_12> NULL <extra_id_13> kecewa <extra_id_14> negative,aos
mantap sangat .| aspek : <extra_id_0>,<extra_id_0> NULL,a
"kamarnya terlalu remang remang . klosetnya juga tersumbat .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> terlalu remang remang ; <extra_id_2> klosetnya <extra_id_3> tersumbat,ao
"tempat oke nyaman , bagus semuanya , cuma pelayannya kurang , minta password wifi tidak di kasih . alasan .| aspek : <extra_id_0>",<extra_id_0> tempat ; <extra_id_1> semuanya ; <extra_id_2> pelayannya ; <extra_id_3> password wifi,a
"kamarnya nyaman . tetapi tidak ada jendela .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive ; <extra_id_2> jendela <extra_id_3> negative,as
"tempat transit , makanannya enak .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> makanannya <extra_id_1> positive,as
"kamar bersih petugas ramah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> petugas <extra_id_3> positive,as
Near enough to ancol area .| opini : <extra_id_0>,<extra_id_0> Near enough,o
"banyak nyamuk dan kamar bau apek no wifi di room lt.2 .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> negative ; <extra_id_2> wifi <extra_id_3> negative,as
"kamar bersih , nyaman dan besar . ' jos wes ' .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> nyaman <extra_id_5> positive ; <extra_id_6> kamar <extra_id_7> besar <extra_id_8> positive,aos
"nyaman buat bermalam , tetapi di depan pintu kamar mandi kurang tersedia keset .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> keset <extra_id_1> kurang tersedia <extra_id_2> negative ; <extra_id_3> NULL <extra_id_4> nyaman <extra_id_5> positive,aos
stafnya ramah . kamar cukup bersih . sayang sewaktu bermalam terganggu suara toa dan tidak tersedia tisu di kamar .| opini : <extra_id_0>,<extra_id_0> ramah ; <extra_id_1> cukup bersih ; <extra_id_2> tidak tersedia,o
"lumayan lah hotel dekat ke mana mana bisa jalan kaki , dekat juga dari bandara .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> lumayan <extra_id_2> positive,aos
bantal bertuliskan airy sudah tidak layak .| aspek : <extra_id_0>,<extra_id_0> bantal,a
"kebersihan harap di tingkatkan .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kebersihan <extra_id_1> harap di tingkatkan <extra_id_2> positive,aos
"jorok ! selimut , seprai bau kamar sembab .| aspek : <extra_id_0>",<extra_id_0> selimut ; <extra_id_1> seprai ; <extra_id_2> kamar ; <extra_id_3> NULL,a
"pelayanan kurang ramah . tidak ada air untuk mandi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> negative ; <extra_id_2> air <extra_id_3> negative,as
for my wife's birthday they gave her a little cake with a candle .| aspek : <extra_id_0>,NULL,a
"semua sangat bagus overall cuma pintu kamar mandi saja yang gbsa tutup dan malam minggu sangat berisik s .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> semua <extra_id_1> sangat bagus <extra_id_2> positive ; <extra_id_3> overall <extra_id_4> sangat bagus <extra_id_5> positive ; <extra_id_6> pintu kamar mandi <extra_id_7> gbsa tutup <extra_id_8> negative ; <extra_id_9> NULL <extra_id_10> sangat berisik <extra_id_11> negative,aos
suka banget tetapi sayang kemarin dapat kamar yang agak sedikit kurang bersih dan bau .| opini : <extra_id_0>,<extra_id_0> agak sedikit kurang bersih ; <extra_id_1> bau ; <extra_id_2> suka banget,o
"penginapan yang luar biasa . bersih , luas dan harganya murah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> penginapan <extra_id_1> positive ; <extra_id_2> harganya <extra_id_3> positive,as
"kamar nya enak semuanya bagus , tetapi sudah 2hari ini pasti deh wifinya mati . padahal saya sudah sering menginap disini dan yang saya suka dari hotel ini wifinya tidak lambat .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar nya <extra_id_1> enak <extra_id_2> positive ; <extra_id_3> semuanya <extra_id_4> bagus <extra_id_5> positive ; <extra_id_6> wifinya <extra_id_7> mati <extra_id_8> negative ; <extra_id_9> wifinya <extra_id_10> tidak lambat <extra_id_11> positive,aos
lumayan untuk first time .| aspek : <extra_id_0>,<extra_id_0> NULL,a
"sangat menyenangkan , pemiliknya sangat ramah . kalau pertama kali ke yogya dan tidak tahu tempat maka .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pemiliknya <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
"kondisi kamar bersih dan nyaman , namun untuk air panasnya tidak berfungsi dengan baik , pelalayanan cukup oke , dan ramah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bersih ; <extra_id_2> kamar <extra_id_3> nyaman ; <extra_id_4> air panasnya <extra_id_5> tidak berfungsi dengan baik ; <extra_id_6> pelalayanan <extra_id_7> cukup oke ; <extra_id_8> pelalayanan <extra_id_9> ramah,ao
"baik .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> baik <extra_id_2> positive,aos
"Strategic location near deng Malioboro , Yogyakarta and Tugu Monument Station enabled me to explore places such travel .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> location <extra_id_1> Strategic ; <extra_id_2> deng Malioboro <extra_id_3> near ; <extra_id_4> Yogyakarta <extra_id_5> near ; <extra_id_6> Tugu Monument Station <extra_id_7> near,ao
"murah , bagus , yang jaga ramah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> yang jaga <extra_id_1> ramah ; <extra_id_2> NULL <extra_id_3> murah ; <extra_id_4> NULL <extra_id_5> bagus,ao
"kamarnya bersih , rapi , alat mandi lengkap , dan disediakan makanan ringan di dalam kamar . sarapan roti dan minuman seduh sendiri . sangat direkomendasi buat yang budget minimal . terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> bersih ; <extra_id_2> kamarnya <extra_id_3> rapi ; <extra_id_4> alat mandi <extra_id_5> lengkap ; <extra_id_6> makanan ringan <extra_id_7> disediakan ; <extra_id_8> NULL <extra_id_9> sangat direkomendasi,ao
"harga dengan fasilitas yang disedikan sangat tidak sesuai . ketika check - in handuk tidak ada harus diminta dulu baru ada . dan kebersihan sungguh jauh dari kata bersih untuk standar hotel . banyak sekali debu apalagi ketika buka gorden terlihat debu yang sepertinya sudah berbulan - bulan tidak dibersihkan . kamar mandi berbau tidak sedap .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> harga <extra_id_1> negative ; <extra_id_2> fasilitas <extra_id_3> negative ; <extra_id_4> handuk <extra_id_5> negative ; <extra_id_6> kebersihan <extra_id_7> negative ; <extra_id_8> kamar mandi <extra_id_9> negative,as
"waktu check in tidak sesuai dengan informasi penting dari hotel , tercantum check in jam 14 faktanya baru bisa check in jam 17 lebih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> waktu check in <extra_id_1> tidak sesuai,ao
"kondisi kamar perlu perawatan , cat sudah mulai lepas .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> perlu perawatan <extra_id_2> negative ; <extra_id_3> cat <extra_id_4> mulai lepas <extra_id_5> negative,aos
"nyamann tempatnya enak .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempatnya <extra_id_1> positive ; <extra_id_2> NULL <extra_id_3> positive,as
kamar bersih tetapi kamar mandi kotor tidak terawat .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> kotor ; <extra_id_2> tidak terawat,o
"penerima tamu yang bernama t . kurang bagus . dikamar juga tidak ada keset jadi becekbecek setelah dari toilet . soal keamanan oke . dan petugas kebersihannya juga baik . hanya waktu diawal penerimaan tamu yang kurang berkenan . terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> penerima tamu <extra_id_1> kurang bagus ; <extra_id_2> keset <extra_id_3> tidak ada ; <extra_id_4> keamanan <extra_id_5> oke ; <extra_id_6> petugas kebersihannya <extra_id_7> baik,ao
"ac kalau bisa di ganti , kemarin kurang dingin tidak seperti biasanya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> ac <extra_id_1> bisa di ganti ; <extra_id_2> ac <extra_id_3> kurang dingin,ao
"memuaskan meski pada saat akan check in proses dari pihak hotel cukup lama lebih dari 30 menit baru bisa masuk ke kamar dari pukul 14:00 .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> check in <extra_id_1> cukup lama ; <extra_id_2> NULL <extra_id_3> memuaskan,ao
"bersih , nyaman . air panas nya saja yang belum ada .| opini : <extra_id_0>",<extra_id_0> belum ada ; <extra_id_1> bersih ; <extra_id_2> nyaman,o
"pelayanan bagus , fasilitas memadai , harga bersahabat .| aspek : <extra_id_0>",<extra_id_0> pelayanan ; <extra_id_1> fasilitas ; <extra_id_2> harga,a
The breakfast menu needs to be improved .| opini : <extra_id_0>,<extra_id_0> needs to be improved,o
"lokasinya agak susah ya kalo mau main , but overall good .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> lokasinya <extra_id_1> agak susah <extra_id_2> negative ; <extra_id_3> overall <extra_id_4> good <extra_id_5> positive,aos
"cukup baik . cuma remote tv tidak berfungsi .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> remote tv <extra_id_1> tidak berfungsi ; <extra_id_2> NULL <extra_id_3> cukup baik,ao
"strategis . sayang kebersihan tempat tidur kurang . selebihnya sesuai harga .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kebersihan tempat tidur <extra_id_1> kurang <extra_id_2> negative ; <extra_id_3> selebihnya <extra_id_4> sesuai <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> strategis <extra_id_8> positive,aos
"pelayanan ramah , kamar nyaman dan bersih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> ramah <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> nyaman <extra_id_5> positive ; <extra_id_6> kamar <extra_id_7> bersih <extra_id_8> positive,aos
padahal udah bayar full 10 hari sebelum hari H . waktu hari H katanya kamar yg sudah saya pesan sudah full booked .| opini : <extra_id_0>,<extra_id_0> sudah full booked,o
so far good . terimakasih airy .| aspek : <extra_id_0>,<extra_id_0> NULL,a
ramah dan lokasi yang strategis .| aspek : <extra_id_0>,<extra_id_0> lokasi ; <extra_id_1> NULL,a
"saya inap di sini karena besok paginya ada acara di biofarma , ternyata memang dekat ke biofarma jalan kaki hanya 5 menit ke sana . kamar oke , sesuai foto , tv channels indoviso dan lengkap fox movies , hbo ada , sarapan enak apalagi makannya di taman yang ada payungnya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> oke <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> sesuai foto <extra_id_5> positive ; <extra_id_6> tv channels <extra_id_7> lengkap <extra_id_8> positive ; <extra_id_9> sarapan <extra_id_10> enak <extra_id_11> positive,aos
air hangat kadang mati .| aspek : <extra_id_0>,<extra_id_0> air hangat,a
letaknya strategis . ruangan bersih . keperluan mandi tersedia . ada makanan kecil untuk tamu . overall sangat memuaskan . recommended .| aspek : <extra_id_0>,<extra_id_0> letaknya ; <extra_id_1> ruangan ; <extra_id_2> keperluan mandi ; <extra_id_3> makanan kecil ; <extra_id_4> overall ; <extra_id_5> NULL,a
"selimut agak kotor , hot shower mati rusak , fasilitas kamar mandi sudah tidak baik , pipa bawah wastafel bocor .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> selimut <extra_id_1> agak kotor <extra_id_2> negative ; <extra_id_3> hot shower <extra_id_4> mati <extra_id_5> negative ; <extra_id_6> hot shower <extra_id_7> rusak <extra_id_8> negative ; <extra_id_9> fasilitas kamar mandi <extra_id_10> tidak baik <extra_id_11> negative ; <extra_id_12> pipa bawah wastafel <extra_id_13> bocor <extra_id_14> negative,aos
sepi tenang kamar bersih makanan wow banget .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> wow banget ; <extra_id_2> sepi ; <extra_id_3> tenang,o
"bagus banget untuk penginapan seharga ini .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> bagus banget,ao
"kamarnya terlalu keciil . sampai tidak ada space untuk solat di kamar .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> negative,as
"puas . bisa istirahat dengan baik .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> puas,ao
"harga yang amazing untuk inap yang nyaman , strategis dan ramah . kalau ada acara dipekanbaru lagi insyaallah inap disini lagi cuma pintu kamar mandi tidak bisa ditutup rapat dan kalau terlambat sarapan tidak kebagian makanan he pengalaman yang buat laper .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> harga <extra_id_1> positive ; <extra_id_2> inap <extra_id_3> positive ; <extra_id_4> pintu kamar mandi <extra_id_5> negative ; <extra_id_6> sarapan <extra_id_7> negative,as
"The location is good , but the roadside is really noisy .| opini : <extra_id_0>",<extra_id_0> good ; <extra_id_1> really noisy,o
"kamar budgett sekali di jakarta .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> budgett sekali <extra_id_2> negative,aos
"pelayanan baik . terimakasih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> baik <extra_id_2> positive,aos
"nyaman sih tetapi toilet kurang bersih saja .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> toilet <extra_id_1> kurang bersih ; <extra_id_2> NULL <extra_id_3> nyaman,ao
The restaurant staff really couldn't keep up with the crowd .| aspek : <extra_id_0>,<extra_id_0> restaurant staff,a
"nyaman tempatnya cuma sayang air panas nya tidak bisa . untuk keseluruhan oke lah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempatnya <extra_id_1> nyaman ; <extra_id_2> air panas nya <extra_id_3> tidak bisa ; <extra_id_4> keseluruhan <extra_id_5> oke,ao
"tempatnya nyaman , bersih cuma tidak ada lift .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempatnya <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> tempatnya <extra_id_4> bersih <extra_id_5> positive ; <extra_id_6> lift <extra_id_7> tidak ada <extra_id_8> negative,aos
"dari kamar nya bagus banget . sayang pelayan nya agak lama .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar nya <extra_id_1> positive ; <extra_id_2> pelayan nya <extra_id_3> negative,as
"Experience at another hotel that is newer , more comfortable and the price is more or less the same , all minibarnya free .| aspek : <extra_id_0>",<extra_id_0> another hotel ; <extra_id_1> another hotel price,a
"Semuanya bagus , pelayanan tempatnya , kamar bersih .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> Semuanya <extra_id_1> bagus <extra_id_2> positive ; <extra_id_3> pelayanan tempatnya <extra_id_4> bagus <extra_id_5> positive ; <extra_id_6> kamar <extra_id_7> bersih <extra_id_8> positive,aos
"kecewa banget aku di sana . enga layak huni . enga di kasih tahu pasword wifinya . kasurnya enga enak , lebih baik ke hotel lain saja . kecewa sumpah !| aspek : <extra_id_0>",<extra_id_0> kasurnya ; <extra_id_1> NULL,a
ada beberapa yang harus ditingkatkan lagi seperti tv . hanya bisa menonton beberapa channel bagus dan .| aspek : <extra_id_0>,<extra_id_0> tv,a
tidak ada sabun dan sampo .| aspek : <extra_id_0>,<extra_id_0> sabun ; <extra_id_1> sampo,a
"pelayanan bagus , lokasi sangat strategis .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> lokasi <extra_id_3> positive,as
sering padam nyala listriknya .| opini : <extra_id_0>,<extra_id_0> sering padam nyala,o
"kamar oke . ac kurang dingin . lampu kamar mandi ada yang mati .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> neutral ; <extra_id_2> ac <extra_id_3> negative ; <extra_id_4> lampu kamar mandi <extra_id_5> negative,as
"bersih dan ramah banget .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> ramah banget <extra_id_5> positive,aos
"kamar mandi bersih tetapi kurang wangi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar mandi <extra_id_1> positive ; <extra_id_2> kamar mandi <extra_id_3> negative,as
"Ini sih yg disayangkan , kalo bisa dibuka lgi , supaya ada fasilitas di Hotel ini .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> fasilitas <extra_id_1> negative,as
"tempat menginap yang nyaman .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive,as
nyaman banget pelanya ramah .| aspek : <extra_id_0>,<extra_id_0> pelanya ; <extra_id_1> NULL,a
"pelayanannya baik . banyak kuliner di dekat hotel untuk memudahkan bagi yang mau berkulinaria .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanannya <extra_id_1> positive,as
"kamar mandi bau , airnya bau .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar mandi <extra_id_1> negative ; <extra_id_2> airnya <extra_id_3> negative,as
"pelayanannya sudah oke . kurangnya air hangatnya tidak hidup .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanannya <extra_id_1> oke <extra_id_2> positive ; <extra_id_3> air hangatnya <extra_id_4> tidak hidup <extra_id_5> negative,aos
"kamar hotel luas , no breakfast , no wifi , staf tidak ramah cenderung galak mungkin karena tamu sedikit dan gaji kecil , not recommeded , tidak bakal balik lagi , kamar mandi kecil dan dipisah dengan toilet . aneh .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar hotel <extra_id_1> luas ; <extra_id_2> breakfast <extra_id_3> no ; <extra_id_4> wifi <extra_id_5> no ; <extra_id_6> staf <extra_id_7> tidak ramah ; <extra_id_8> staf <extra_id_9> galak ; <extra_id_10> kamar mandi <extra_id_11> kecil ; <extra_id_12> NULL <extra_id_13> not recommeded,ao
